date,precipitation,pressure,humidity,windspeed,temperature
2021/7/9,0,1008.3,71,5.1,25
2021/7/10,0,1007.4,75,6.3,24.4
2021/7/11,0,1007.3,75,4,26.2
2021/7/12,0,1008.7,77,2.8,27.4
2021/7/13,0,1012.1,72,3.6,29.3
2021/7/14,0,1014.4,70,3.8,29.7
2021/7/15,0,1016.1,73,2.6,29.9
2021/7/16,0,1015.4,71,2.3,32.3
2021/7/17,0,1011.9,69,2,32.4
2021/7/18,0,1009.8,66,2,34.3
2021/7/19,0,1010.9,65,2.1,35
2021/7/20,0,1012.4,80,3.9,29.9
2021/7/21,0,1012.5,78,2,31.2
2021/7/22,0,1010.2,75,2.8,30.6
2021/7/23,0,1008.6,72,3.1,30.3
2021/7/24,0,1008.8,71,2.8,32.1
2021/7/25,0,1008.4,68,4.6,32.5
2021/7/26,0,1006.5,61,4,31.4
2021/7/27,0,1002.3,70,2.7,31.8
2021/7/28,0,1001.8,66,5.3,35.1
2021/7/29,0.5,1001.2,81,6.2,30.2
2021/7/30,0,1001.2,74,4.9,31
2021/7/31,0,1002.4,70,3.1,34.7
2021/8/1,0,1001.3,69,1.9,32.6
2021/8/2,0,1004.1,75,4.2,31.3
2021/8/3,0,1007,73,2.6,34.4
2021/8/4,7.5,1006.1,82,1.6,33.1
2021/8/5,0,1003.5,75,1.9,33.4
2021/8/6,0,1003.4,71,2.4,35
2021/8/7,0,1003.5,73,5.4,31.9
2021/8/8,0,1003.1,73,6.1,29.7
2021/8/9,10.5,1002.6,84,2.7,26.4
2021/8/10,52.5,1000.1,87,2.5,18.4
2021/8/11,3,1011.1,67,2,23.4
2021/8/12,0,1013.5,71,4.1,23.3
2021/8/13,0,1013,67,4.5,23.9
2021/8/14,0,1011.3,61,3.1,23
2021/8/15,0,1013.1,72,1.5,23.1
2021/8/16,0.5,1015.8,71,4.3,22.6
2021/8/17,0,1015.1,74,4.8,24.2
2021/8/18,22.5,1009.9,93,2.5,18.9
2021/8/19,0,1011.4,84,3.4,23.7
2021/8/20,0,1015.3,63,1.7,30.3
2021/8/21,0,1013.6,60,4.5,28.9
2021/8/22,0.5,1009.3,73,6.4,25.6
2021/8/23,5.5,1006.9,77,4.5,28
2021/8/24,0,1008.7,76,5,26.2
2021/8/25,5,1005.4,91,4.7,22
2021/8/26,0,1004.4,83,3.9,28.4
2021/8/27,0.5,1006.3,77,2,26.5
2021/8/28,0,1002.9,63,3.1,30.1
2021/8/29,0,1005.2,56,2.5,30.3
2021/8/30,0.5,1005.4,56,3.4,30.3
2021/8/31,0,1007.3,59,4.7,24.8
2021/9/1,0,1008.8,65,3,25.5
2021/9/2,0,1009,67,2.2,24.6
2021/9/3,0,1011.4,69,1.7,26.6
2021/9/4,30,1015.9,75,2.3,26.3
2021/9/5,0,1018.6,77,1.9,25.6
2021/9/6,0,1017.7,71,2.1,24.8
2021/9/7,0,1015.5,67,1.9,25.6
2021/9/8,0,1012,77,4.7,19.9
2021/9/9,1.5,1009.1,89,1.9,22.5
2021/9/10,0,1011,77,2.6,25.6
2021/9/11,0,1008.3,73,4.5,26.7
2021/9/12,13,1002.4,78,3.4,26.1
2021/9/13,1,1009.9,68,6.2,20.6
2021/9/14,0,1017.7,62,1.9,21.2
2021/9/15,0,1017.6,61,2.3,21.5
2021/9/16,0,1017.2,68,3.3,21.6
2021/9/17,0,1013.5,74,5.1,21.9
2021/9/18,0,1008.7,79,2.6,21.1
2021/9/19,0,1011.3,69,4.1,22.9
2021/9/20,0,1015.1,59,2.8,21
2021/9/21,0,1011.9,74,4.3,22.9
2021/9/22,1.5,1004.6,84,5.2,23.6
2021/9/23,0.5,1005.9,83,1.9,26.2
2021/9/24,4,1017.5,69,4,19.5
2021/9/25,0,1024.8,66,2,20.3
2021/9/26,0,1021.8,71,3.3,21.5
2021/9/27,0,1018.7,72,3.7,22.2
2021/9/28,0,1016.3,78,3.8,21.3
2021/9/29,2.5,1012.3,77,5.7,21.8
2021/9/30,19,1001.9,92,4.4,21.4
2021/10/1,0,1005.4,80,1.7,24.1
2021/10/2,14,1004.1,82,3.7,20.8
2021/10/3,0,1015.4,52,3.7,21.7
2021/10/4,0,1013.2,72,3.8,27.3
2021/10/5,3.5,1017,77,1.7,17.1
2021/10/6,5.5,1016.7,67,3.1,17.6
2021/10/7,0,1017.9,60,2.6,17.9
2021/10/8,0,1017.8,68,3.1,19.6
2021/10/9,0,1024.7,64,1.8,21
2021/10/10,0.5,1013.4,76,5.7,23.5
2021/10/11,13.5,1010.7,74,2.9,23.7
2021/10/12,0,1024.7,70,1.4,19.3
2021/10/13,0,1024.9,70,2.1,18.8
2021/10/14,0,1014.9,71,2.8,21.3
2021/10/15,2.5,1011.2,72,4,17.7
2021/10/16,3,1011,74,4.6,16.3
2021/10/17,0.5,1010.2,60,5.1,9.4
2021/10/18,0,1020.2,59,2.6,11.3
2021/10/19,6,1013,76,3.8,15.9
2021/10/20,26.5,1002.6,92,2,9.9
2021/10/21,35,1009.1,87,4.1,9.8
2021/10/22,0.5,1013.8,81,1.8,10.6
2021/10/23,11,1014.6,79,2.8,10.8
2021/10/24,0,1018.1,70,1.6,18.3
2021/10/25,0,1020.6,73,1.7,17.7
2021/10/26,0.5,1015.6,83,2,16.8
2021/10/27,0,1009.6,75,2.4,17.1
2021/10/28,10,1009,78,3.5,14.2
2021/10/29,17.5,1018.5,69,6.6,11.6
2021/10/30,0,1022,70,1.7,13.9
2021/10/31,0.5,1020.2,76,1.5,15
2021/11/1,0,1020.6,77,2.2,14.4
2021/11/2,12.5,1017.7,86,1.7,10.1
2021/11/3,3.5,1012.3,83,1.6,12.8
2021/11/4,0,1011.5,78,2.5,15.2
2021/11/5,0,1016.3,74,2.9,14.1
2021/11/6,1,1019.4,73,1.7,13.3
2021/11/7,1,1020.8,88,1.7,10.5
2021/11/8,1,1020.7,83,3.9,15.2
2021/11/9,58,1006.4,89,5.7,15.3
2021/11/10,20,991.7,79,5.4,14
2021/11/11,4.5,994.7,59,4.1,10.9
2021/11/12,0,1001.2,59,2.9,12.4
2021/11/13,0,1008.3,64,1.9,10.5
2021/11/14,0,1008.9,75,3.2,13.1
2021/11/15,2,1010.6,66,2.8,9.6
2021/11/16,0,1014,55,2.9,6.9
2021/11/17,0,1016.2,57,3.2,9
2021/11/18,0,1011.7,72,4,12.3
2021/11/19,7,1006.7,73,4.3,14
2021/11/20,0.5,1016.9,56,3.7,7.6
2021/11/21,0,1018.9,69,1.2,6.6
2021/11/22,14,1002.7,81,6.3,13.6
2021/11/23,0,993.8,59,4.6,10.4
2021/11/24,0.5,996.4,60,3,3.5
2021/11/25,0,1001.8,75,1.5,3.3
2021/11/26,0,1005.8,61,3.2,5.9
2021/11/27,25,1014.4,85,4.6,4.7
2021/11/28,2.5,1023.5,77,2.1,7.9
2021/11/29,0,1018.3,72,2.9,11.8
2021/11/30,0.5,1013,76,4,11.5
2021/12/1,12,988.4,67,6.5,14.6
2021/12/2,8.5,1001.1,80,2.5,1.2
2021/12/3,3,1003.9,82,5.1,9.7
2021/12/4,0.5,1008.5,66,3.4,4.2
2021/12/5,0,1022.3,61,2.4,1.5
2021/12/6,0,1024,75,3.7,8.2
2021/12/7,0,1023.1,74,2.8,9
2021/12/8,0,1025.3,72,2.4,6.2
2021/12/9,0,1028.4,67,1.5,7.9
2021/12/10,0,1022.7,75,1.8,9.3
2021/12/11,0,1015.7,78,2.4,9.3
2021/12/12,4,1004.4,78,3.2,8.1
2021/12/13,4,1000.7,65,5.7,1
2021/12/14,0,1011.1,65,2.2,4.5
2021/12/15,0,1009.6,74,2.8,4.6
2021/12/16,0,1011.8,60,1.7,3.5
2021/12/17,40.5,997,93,3.9,0.6
2021/12/18,11.5,1001.7,69,5.9,-4
2021/12/19,0,1005.6,72,1.6,-1.1
2021/12/20,0,1007.7,68,2,0.4
2021/12/21,3,1002.3,85,2.2,4.1
2021/12/22,1.5,1005.8,74,3.1,2.4
2021/12/23,13,1014.1,70,3.2,-0.6
2021/12/24,0,1014.6,64,1.9,-2.5
2021/12/25,0,1004.8,61,2.3,-3.7
2021/12/26,4,1003.6,67,4.7,-4
2021/12/27,2,1006.1,68,3,-3.5
2021/12/28,0,1011.7,58,3.6,-1.9
2021/12/29,0.5,1010.8,75,2.6,0.3
2021/12/30,0.5,1003.9,70,3.9,0.2
2021/12/31,0,1001.5,53,4.3,-4.8
2022/1/1,10.5,1008.5,76,4.1,-2.3
2022/1/2,0.5,1008.6,78,3.3,1.7
2022/1/3,2.5,1006.4,72,3.6,-5.1
2022/1/4,4,1007.1,68,5.7,-3.3
2022/1/5,5.5,1015.6,77,5.3,-0.4
2022/1/6,0,1018.5,76,1.4,-2.3
2022/1/7,1,1014,73,1.7,-2.9
2022/1/8,1,1012.5,81,2,0.2
2022/1/9,4,1010.6,77,3.1,1.7
2022/1/10,0,1016.4,75,1.3,-0.1
2022/1/11,25,1003,82,4.8,1.7
2022/1/12,22.5,981.4,87,6.9,2.5
2022/1/13,17.5,987.4,81,7.3,1.7
2022/1/14,16,993.4,84,9.7,0.7
2022/1/15,12.5,1009.7,81,6.3,2.3
2022/1/16,0.5,1010.7,82,2.9,2.2
2022/1/17,3.5,1003.1,76,2.8,2.8
2022/1/18,1,1005.3,70,2.7,0.2
2022/1/19,0,1013.2,64,1.8,0.8
2022/1/20,0,1012.7,57,1.6,-1.5
2022/1/21,3,1015.8,81,4,-0.2
2022/1/22,14,1019.3,89,2.2,-2.2
2022/1/23,0,1016.2,72,1.4,0.1
2022/1/24,0.5,1013,78,1.6,-0.8
2022/1/25,4,1016.4,79,1.6,-0.9
2022/1/26,0,1012.7,79,1.8,2.2
2022/1/27,2,1009.7,79,2.3,1.6
2022/1/28,3.5,1007.6,74,1.6,0.2
2022/1/29,2,1004.7,69,2.6,-3.9
2022/1/30,1,1006.3,52,4.2,-4.9
2022/1/31,12.5,1008.3,81,2.4,-5.9
2022/2/1,0.5,1008.8,66,2.4,-0.6
2022/2/2,1,1008.4,66,4,0.5
2022/2/3,0,1006.9,67,2.9,0.9
2022/2/4,0,1005.1,66,2.2,-0.4
2022/2/5,17.5,1000.4,76,1.7,-1.6
2022/2/6,22,1003.9,78,3.2,-1.2
2022/2/7,0,1012.3,63,3.1,0.9
2022/2/8,0,1016,71,2.2,-0.7
2022/2/9,1,1019.4,62,3.9,0.1
2022/2/10,0,1020.6,69,1.2,0
2022/2/11,0,1021,68,1.5,0.5
2022/2/12,0,1018.6,74,2.2,1.1
2022/2/13,1,1015.4,67,2.8,1.5
2022/2/14,0.5,1016.6,72,2,0.9
2022/2/15,0.5,1013.6,76,2.9,0.2
2022/2/16,3,1004,78,2.8,2
2022/2/17,1.5,1007.7,75,2.2,1.2
2022/2/18,2,1018.5,71,2.1,-0.1
2022/2/19,1,1016.7,69,3.8,2.1
2022/2/20,9,998.8,78,6,2.6
2022/2/21,21,994.8,80,9.6,0.3
2022/2/22,19.5,1004.2,82,6.5,-0.9
2022/2/23,7,1009.4,77,5.1,-0.2
2022/2/24,0,1008.1,64,2.9,1.6
2022/2/25,0,1007.1,68,2.7,1.9
2022/2/26,0,1004.6,59,3.5,8
2022/2/27,0.5,1001.3,74,3.8,4.5
2022/2/28,3.5,1008.9,67,4.1,2.1
2022/3/1,2.5,1005.8,77,2.6,4.2
2022/3/2,0,1003.9,63,2.7,2.7
2022/3/3,4,1002.6,74,3.9,1.8
2022/3/4,0,1010,55,2.2,4
2022/3/5,4.5,997,72,6.1,3.1
2022/3/6,0.5,992.2,68,3.6,3.8
2022/3/7,0,1008.6,66,5.5,3.4
2022/3/8,1,1012.1,69,1.7,3.4
2022/3/9,0,1016.8,63,1.4,4.7
2022/3/10,0,1017.3,60,1.9,8.1
2022/3/11,0.5,1009.4,71,4,6.2
2022/3/12,5,1010.3,72,4.8,4.8
2022/3/13,0,1014.9,63,3,6.9
2022/3/14,0,1012.1,71,2.8,6.7
2022/3/15,14.5,1004.9,91,3.5,2.5
2022/3/16,0,1009.8,85,1.7,6.6
2022/3/17,6.5,1013.9,85,2.4,4.3
2022/3/18,0,1015,69,2.1,4.2
2022/3/19,2,1001.9,75,3.5,4
2022/3/20,3,1005.8,71,5,2.7
2022/3/21,1.5,1013,63,3.3,4.8
2022/3/22,1,1014.8,78,2.3,4.8
2022/3/23,0,1014.3,65,1.7,7.2
2022/3/24,0,1012.9,67,2.1,7.2
2022/3/25,0,1019.8,66,2.5,9.1
2022/3/26,5.5,1005.8,81,5.5,7.8
2022/3/27,1,996.4,59,4.6,11.8
2022/3/28,1.5,1011,57,5.1,6.7
2022/3/29,0,1020.9,46,2.7,13.1
2022/3/30,0,1015.4,69,3.8,10.4
2022/3/31,0,1015.5,61,3.1,8.4
2022/4/1,1,1016.4,63,4.3,4.6
2022/4/2,0,1020.7,41,3.2,9.3
2022/4/3,0,1023.7,46,3.3,12.2
2022/4/4,0,1023.3,36,2.6,14.2
2022/4/5,0,1015.8,56,4,16.7
2022/4/6,1,1011.6,66,4.5,7.6
2022/4/7,0,1013.2,41,3.5,9.2
2022/4/8,1,1011,60,3.1,9.3
2022/4/9,0,1007.4,63,5.1,12.9
2022/4/10,0.5,1012.6,75,3.6,15.8
2022/4/11,0,1008.7,72,3.2,19.9
2022/4/12,0.5,1006.2,75,2.6,21.2
2022/4/13,1.5,1012.2,79,6.5,8.5
2022/4/14,0,1021.4,59,3.7,10.9
2022/4/15,0,1015.3,58,2.6,11.4
2022/4/16,0,1008.4,55,3.8,12.3
2022/4/17,0,1010,55,3.3,15.3
2022/4/18,4,1012,74,2.6,12.5
2022/4/19,0,1013.2,53,2.8,13.5
2022/4/20,0,1012.3,42,4.3,18.9
2022/4/21,0,1010.8,42,4.7,23.2
2022/4/22,5,1002.1,64,4.5,21.5
2022/4/23,0.5,1002.5,56,3.8,15.1
2022/4/24,0,1006.8,51,6.5,16.7
2022/4/25,0,1009.9,54,2.6,17.1
2022/4/26,0,1003.2,66,5.3,17.7
2022/4/27,0,997.1,54,6.3,16.6
2022/4/28,0,1013.8,35,5.8,13
2022/4/29,0,1014.1,45,3.2,12.4
2022/4/30,0,1011.4,43,4.2,17
2022/5/1,0.5,1008,67,5,11.2
2022/5/2,0,1003.3,63,2.7,13.3
2022/5/3,0,1007.3,62,2.9,13.9
2022/5/4,3.5,1008.3,73,5.5,14.6
2022/5/5,0,1016.8,63,6.2,18.7
2022/5/6,0,1014,44,5.5,27.4
2022/5/7,1.5,1007.2,65,5.5,23.7
2022/5/8,0,1007.7,51,4,15.6
2022/5/9,0,1009.2,33,4.3,18.6
2022/5/10,0,1013.3,41,2.1,24.8
2022/5/11,0,1015.2,41,4.2,27
2022/5/12,0,1011.3,67,3.5,26.2
2022/5/13,3,1007.6,77,2.5,19.7
2022/5/14,0,994.6,73,5.2,22.2
2022/5/15,0,1002.3,58,3.5,18.6
2022/5/16,0,1007.5,48,4.5,21.6
2022/5/17,0,1010.3,46,3.5,24.4
2022/5/18,0,1012.5,50,3,23.5
2022/5/19,0,1010.2,65,3.4,21.3
2022/5/20,0,1008.4,65,2.3,21.4
2022/5/21,0,1006.7,54,4.3,24
2022/5/22,1.5,1004.4,64,5.3,22.7
2022/5/23,0,1007.8,84,3.5,21.7
2022/5/24,0.5,1011.6,84,2.3,20.6
2022/5/25,0,1008.4,53,2.5,27
2022/5/26,0,1004.7,58,5.6,27.9
2022/5/27,24,998,87,7,18
2022/5/28,8.5,993.2,88,3.6,16.8
2022/5/29,7,1001.1,84,8.3,14.7
2022/5/30,0,1006.3,64,3.8,22.6
2022/5/31,16.5,1003,81,6.8,14.5
2022/6/1,5,1003.6,86,2.6,15.9
2022/6/2,0,1005.8,78,2.2,17.8
2022/6/3,0,1007.2,78,4.8,15.2
2022/6/4,0,1009.9,73,4.9,15
2022/6/5,0,1010.9,66,2.9,15.5
2022/6/6,0,1008,61,4.2,18.8
2022/6/7,0,1004.5,58,2.7,19
2022/6/8,0,1009.7,69,2.6,18
2022/6/9,0,1013.5,69,2.8,20.9
2022/6/10,0,1014.1,65,5.3,21.7
2022/6/11,1,1013.5,82,4,21.4
2022/6/12,0,1009.8,77,5.3,16.4
2022/6/13,0,1012.6,75,3,19.5
2022/6/14,0,1015.8,76,3.7,20.6
2022/6/15,0.5,1010.7,72,6.9,19.6
2022/6/16,7.5,1001.5,91,2.6,20.7
2022/6/17,0.5,1003.8,93,1.8,18.5
2022/6/18,0,1004,73,3.5,25.7
2022/6/19,8,1000.3,77,3.5,24.3
2022/6/20,0,999.4,79,4.9,23.6
2022/6/21,0,1006.4,78,3.2,23
2022/6/22,0,1008.5,70,4.3,25.1
2022/6/23,3.5,1007.8,83,5.3,19
2022/6/24,15.5,994.7,89,7.2,22.1
2022/6/25,0,995.8,69,4,30.6
2022/6/26,0,1002.2,67,3.8,28.1
2022/6/27,1,1004.1,84,3.6,24.1
2022/6/28,14.5,1002.9,86,3.7,22.9
2022/6/29,13,998.6,94,2.2,22
2022/6/30,1,1007.4,86,1.9,24.5
2022/7/1,0,1011.6,79,3.1,24.5
2022/7/2,0,1009.3,81,1.5,24.9
2022/7/3,0,1004.6,72,1.6,32
2022/7/4,0,1003.7,76,2.3,31.5
2022/7/5,0,1005.9,84,1.8,27.5
2022/7/6,0,1008.8,76,2.6,30.8
2022/7/7,0,1010.3,71,2.5,30.4
2022/7/8,0,1007.9,72,5.1,27.2
2022/7/9,0,1005.2,68,3.6,29.8
